timestamp,url,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,risk_score,risk_class,threat_category,auto_label,verified_label
1764638661.80775,https://www.jhu.edu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Safe,Trusted Safe Website,Safe — Manual,Safe
1764638661.814107,https://www.americanredcross.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Safe,Trusted Safe Website,Safe — Manual,Safe
1764638661.8077857,https://www.archstrike.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Safe,Trusted Safe Website,Safe — Manual,Safe
1764638661.8071973,https://www.rossstores.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Safe,Trusted Safe Website,Safe — Manual,Safe
1764638661.8073428,https://www.wordpress.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Safe,Trusted Safe Website,Safe — Manual,Safe
1764638661.8139827,https://www.acm.org/technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Safe,Trusted Safe Website,Safe — Manual,Safe
1764638661.8075156,https://www.julialang.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Safe,Trusted Safe Website,Safe — Manual,Safe
1764638661.8141246,https://www.musc.edu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Safe,Trusted Safe Website,Safe — Manual,Safe
1764638661.8075922,https://www.azcentral.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Safe,Trusted Safe Website,Safe — Manual,Safe
1764638661.8077931,https://www.udacity.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Safe,Trusted Safe Website,Safe — Manual,Safe
1764638661.8141267,https://www.nyulangone.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Safe,Trusted Safe Website,Safe — Manual,Safe
1764638661.8077364,https://www.norfolkstate.edu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Safe,Trusted Safe Website,Safe — Manual,Safe
